symbol,gap,volume,nbTransactionGap,volumeTransactionGap,volatility,nbWave,averageAmplitude,Cluster
yes_usdt,-0.22370922075346328,-0.25103198155168577,-0.2918092037144111,-0.23996726105847016,0.5098805733979908,-0.0189834668804982,-0.08761612842925112,0
scarcity_usdt,-0.46945525564575563,-0.23367022746981833,-0.32972385025336104,-0.20708769759024945,-0.3437034847334298,-0.5278864059461625,-0.1842580678986674,0
bonk2_usdt,0.3650030537307292,-0.2512480091082764,-0.32972385025336104,-0.21563623227983153,0.8645172963055847,2.4656602944400983,-0.1432265962801305,0
wagmigames_usdt,-0.49663373894384993,-0.24833141696788433,-0.3550002812793276,-0.27466691347840627,-0.8321812047575688,-1.0367893450118268,-0.27550950913756145,0
plank_usdt,5.30728709683734,-0.25199867165634215,-0.3550002812793276,-0.27466691347840627,-0.98410338436163,-1.5756277510813537,-0.3585932711837261,3
nrg_usdt,-0.5642808382262162,-0.2503978350168766,-0.3550002812793276,-0.27466691347840627,-0.8590317151985902,-1.2762730810427276,-0.29902002568651925,0
vigo_usdt,0.4120585962411998,-0.25039079019983046,-0.26653277268844455,-0.265064639986562,0.5635419856386983,2.25611202541306,-0.13462012254611017,0
nap_usdt,-0.3913373199687925,-0.2514785584641952,-0.3550002812793276,-0.27466691347840627,-0.6333374330298593,0.010952000123364404,-0.3046403235069023,0
catboy_usdt,-0.27635565778129667,-0.25116862800708334,-0.3550002812793276,-0.27466691347840627,-0.809814774159212,-0.9170474769963763,-0.28447105705767334,0
degen_usdt,-0.5303197795754301,-0.2484573985130742,-0.32972385025336104,-0.25750895302930477,-0.5367682973088593,-0.13872533489594863,-0.264441220383947,0
